******DATE,ORDER_ID,PRODUCT_ID,CUSTOMER_ID,UNITS,UNIT_PRICE,TOTAL_AMOUNT
01/01/2023 00:00:00,300002,10016,119,1,1599,1599
01/01/2023 00:00:00,300002,10063,120,2,1799,3598
01/01/2023 00:00:00,300003,10032,976,3,70,210
01/01/2023 00:00:00,300004,10070,573,1,7,7
01/01/2023 00:00:00,300004,10062,689,2,1499,2998
01/01/2023 00:00:00,300005,10083,265,1,50,50
02/01/2023 00:00:00,300006,10063,378,2,1799,3598
02/01/2023 00:00:00,300006,10030,546,2,234,468
02/01/2023 00:00:00,300007,10081,516,3,5,15
02/01/2023 00:00:00,300007,10085,636,3,6,18
02/01/2023 00:00:00,300007,10070,955,3,7,21
02/01/2023 00:00:00,300007,10027,206,2,109,218
02/01/2023 00:00:00,300007,10033,475,3,295,885
02/01/2023 00:00:00,300007,10066,82,3,149,447
02/01/2023 00:00:00,300008,10019,482,2,1299,2598
03/01/2023 00:00:00,300009,10077,175,3,6,18
03/01/2023 00:00:00,300009,10035,384,2,52,104
03/01/2023 00:00:00,300009,10018,199,3,1099,3297
03/01/2023 00:00:00,300010,10081,630,1,5,5
03/01/2023 00:00:00,300010,10039,905,3,799,2397
03/01/2023 00:00:00,300011,10016,518,2,1599,3198
03/01/2023 00:00:00,300011,10031,21,2,25,50
04/01/2023 00:00:00,300012,10028,152,2,1500,3000
04/01/2023 00:00:00,300012,10019,580,3,1299,3897
04/01/2023 00:00:00,300012,10044,923,2,750,1500
04/01/2023 00:00:00,300013,10066,242,1,149,149
04/01/2023 00:00:00,300013,10042,142,2,1849,3698
04/01/2023 00:00:00,300013,10066,928,2,149,298
04/01/2023 00:00:00,300014,10058,538,3,799,2397
04/01/2023 00:00:00,300014,10016,564,3,1599,4797
04/01/2023 00:00:00,300014,10026,826,2,850,1700
04/01/2023 00:00:00,300015,10047,562,1,300,300
04/01/2023 00:00:00,300016,10071,193,2,6,12
04/01/2023 00:00:00,300017,10037,373,2,500,1000
04/01/2023 00:00:00,300018,10045,54,3,499,1497
04/01/2023 00:00:00,300018,10049,333,2,450,900
04/01/2023 00:00:00,300019,10086,56,3,13,39
04/01/2023 00:00:00,300019,10030,198,2,234,468
05/01/2023 00:00:00,300020,10018,347,1,1099,1099
05/01/2023 00:00:00,300020,10017,337,1,999,999
05/01/2023 00:00:00,300020,10079,393,1,7,7
05/01/2023 00:00:00,300020,10018,940,1,1099,1099
05/01/2023 00:00:00,300020,10058,496,2,799,1598
05/01/2023 00:00:00,300021,10031,118,3,25,75
05/01/2023 00:00:00,300021,10013,692,1,157,157
05/01/2023 00:00:00,300021,10031,706,3,25,75
05/01/2023 00:00:00,300021,10037,11,3,500,1500
